Expression,# of ratings (n=),Meaningful,MeaningfulSD
Be small potatoes,107,3.9346,1.3755
Be sold on something,108,4.5833,0.8442
Be someone's baby,110,4.2727,0.9946
Be someone's bag of tricks,100,4.41,0.9545
Be someone's better half,100,4.81,0.5064
Be someone's bread and butter,102,4.5,0.9825
Be someone's finest hour,102,4.7451,0.5918
Be someone's other half,103,4.7476,0.6374
Be someone's partner in crime,100,4.75,0.6256
Be spoken for,100,4.68,0.7505
Be the apple of someone's eye,107,4.6636,0.7763
Be the bane of someone's existence,102,4.1373,1.3646
Be the bomb,108,4.6759,0.6948
Be the boy/girl next door,102,4.7059,0.6538
Be the cream of the crop,108,4.6111,0.8409
Be the lesser of two evils,101,4.703,0.609
Be the life of the party,100,4.86,0.4718
Be the moment of truth,108,4.8611,0.4826
Be the odd one out,102,4.7353,0.5958
Be the unsung hero,108,4.4352,0.9694
Be thrilled to bits,105,4.4381,0.9295
Be too rich for one's blood,100,4.13,1.2606
Be under the influence,106,4.8019,0.5241
Be up and running,102,4.8333,0.4468
Be up in arms about something,107,4.5047,0.915
Be up in the air,100,4.7,0.772
Be wide open,106,4.3585,1.0707
Be without rhyme or reason,103,4.5437,0.9879
Be young at heart,101,4.7624,0.5683
Be/fall under someone's spell,108,4.8148,0.5321
Be/feel under the weather,103,4.9126,0.3164
Be/get a rude awakening,102,4.8529,0.4314
Be/get up to speed,100,4.85,0.4578
Beat around the bush,102,4.7723,0.6145
Beat the system,110,4.5909,0.7816
Been around the block,108,4.6759,0.6674
Bite one's tongue,108,4.7685,0.6054
Bite someone's head off,108,4.6759,0.8183
Bite the dust,108,4.7685,0.6782
Bleed someone dry,110,4.3909,0.9963
Blow someone's cover,110,4.7364,0.6307
Blow something out of the water,103,4.6019,0.8206
Blow something sky-high,103,4.3301,0.9537
Blow something wide open,108,4.4537,0.9411
Blow the lid off something,107,4.3271,1.035
Blow the whistle on something,105,4.4,0.9261
Blow up in one's face,103,4.7476,0.6058
Bore the pants off someone,103,4.4757,1.0464
Bored out of one's skull/mind,105,4.8952,0.4369
Bounce ideas off someone,102,4.7255,0.6624
Break one's back,108,4.3796,0.9444
Break someone's heart,102,4.9118,0.4006
Break the ice,103,4.8058,0.506
Bring something to the party,108,3.2963,1.4868
Broaden one's horizons,103,4.6699,0.6915
Build a bridge,101,3.4653,1.3679
Burn a hole in one's pocket,105,4.7524,0.6763
Burn the candle at both ends,110,4.2455,1.272
Burn the midnight oil,105,4.2476,1.3358
Burst someone's bubble,103,4.9223,0.3032
Bury one's head in the sand,110,4.5636,0.914
Bury the hatchet,110,4.6636,0.7203
Call it a day,105,4.8857,0.4232
Call it quits,100,4.79,0.5911
Call someone's bluff,100,4.78,0.6754
Call the shots,105,4.8762,0.4941
Carry a torch for someone,100,4.13,1.2198
Cash in one's chips,103,4.3786,0.9406
Catch one's breath,107,4.5794,0.8906
Catch some Z's,108,4.6204,0.9345
Catch someone in the act,101,4.7822,0.5934
Catch someone off guard,101,4.8515,0.4095
Catch someone red-handed,100,4.83,0.5136
Catch someone with their pants down,102,4.5784,0.8258
Catch someone's drift,102,4.598,0.859
Catch someone's eye,105,4.8952,0.3375
Catch your second wind,110,4.7091,0.6953
Caught between a rock and a hard place,103,4.7476,0.6218
Cause a stir,107,4.5794,0.8131
Chance your luck,102,3.7059,1.354
Chomping at the bit,108,4.0556,1.4263
Clean up one's act,105,4.8476,0.4553
Clear away the cobwebs,108,3.8611,1.3497
Come clean,107,4.785,0.6299
Come down hard on someone,100,4.71,0.686
Come full circle,100,4.61,0.7507
Come in from the cold,101,3.7723,1.4204
Come on strong,100,4.7,0.6435
Come out of one's shell,101,4.8317,0.4488
Come out of the woodwork,100,4.48,0.8931
Come out on top,105,4.8762,0.4318
Come to a crossroads,110,4.5182,0.906
Come to blows,100,4.58,0.9968
Come to one's senses,108,4.8426,0.4768
Come to pass,100,4.48,0.9154
Come unhinged,110,4.4727,0.955
Comes with the territory,101,4.604,0.8495
Cost an arm and a leg,105,4.9429,0.2713
Couldn't do without it,105,4.6667,0.7926
Count one's blessings,105,4.7714,0.5925
Cover a lot of ground,102,4.7353,0.6589
Cover all one's bases,110,4.7182,0.6515
Cover one's back,101,4.396,0.9282
Cover ones tracks,106,4.8019,0.5592
Crack the whip,102,4.3922,1.0914
Cramp someone's style,102,4.6471,0.7532
Cross one's fingers,103,4.8058,0.4862
Cross the line,107,4.8224,0.5105
Cry wolf,106,4.8868,0.4434
Cut a long story short,103,4.7573,0.6335
Cut corners,108,4.8333,0.4636
Cut something to the bone,102,3.9216,1.3102
Cut the cord,108,4.2222,1.1466
Cut to the chase,108,4.8796,0.3543
Cut your losses,100,4.7,0.7177
Cutting it close,102,4.8431,0.4613
Deal a blow to something,103,3.9029,1.2249
Dig one's own grave,108,4.7222,0.624
Dig up dirt on something/one,110,4.6909,0.7263
Do a double take,100,4.77,0.5835
Do a vanishing act,106,4.3396,1.1203
Do battle with someone,102,3.8529,1.2851
Do in cold blood,106,4.5189,0.9485
Do one's homework,100,4.68,0.7898
Do someone a world of good,106,4.717,0.6288
Do someone proud,100,4.6,0.7654
Do someone's dirty work,102,4.8333,0.4685
Do something against the clock,100,3.8,1.3409
Do something around the clock,100,4.61,0.8152
Do something at the drop of a hat,100,4.56,0.808
Do something behind closed doors,100,4.69,0.7063
Do something by the book,110,4.7818,0.4955
Do something for all you're worth,106,4.3491,1.0146
Do something from scratch,102,4.7745,0.5955
Do something in one's own time,102,4.402,1.0075
Do something in one's sleep,101,4.703,0.7422
Do something justice,105,4.6952,0.6221
Do something like there's no tomorrow,106,4.7264,0.6254
Do something on the spot,108,4.5463,0.9005
Do something right off the bat,101,4.6535,0.7541
Do something to one's heart's content,108,4.6574,0.7991
Do the trick,100,4.84,0.4654
Don't bank on something,110,4.5455,0.7856
Drag one's feet,5,4.7714,0.6241
Drag someone into the 21st Century,100,3.89,1.3625
Drag someone kicking and screaming,106,4.717,0.7528
Drag someone through the mud,108,4.537,0.8137
Draw the line,108,4.7315,0.4854
Drink someone under the table,103,4.2427,1.192
Drive a hard bargain,100,4.65,0.8211
Drive someone crazy,100,4.97,0.1714
Drive someone up the wall,108,4.8056,0.5712
Drop a bombshell,106,4.6321,0.8432
Drown one's sorrows,108,4.7222,0.6388
Dry as a bone,103,4.5243,1.0082
Earn one's keep,108,4.6944,0.6898
Eat someone alive,103,4.5825,0.8463
Eat someone for breakfast,102,3.9216,1.426
Extend the olive branch,108,4.3148,1.1891
