Expression,# of ratings (n=),Meaningful,MeaningfulSD
Play cat and mouse,108,4.6019,0.7481
Play chicken,101,4.4356,0.8879
Play devil's advocate,108,4.537,0.8475
Play one's cards right,108,4.8704,0.3641
Play one's last card,110,4.1455,1.1239
Play something by ear,100,4.69,0.7614
Play the field,102,4.6275,0.7025
Point someone in the right direction,100,4.84,0.4431
Preach to the crowd,105,3.9048,1.411
Pull oneself up by their bootstraps,110,4.3818,1.0664
Pull out all the stops,103,4.5728,0.7995
Pull rank on someone,102,4.0294,1.3309
Pull some strings,103,4.8252,0.4522
Pull something out of a hat,108,4.2778,1.0575
Pull something out of the bag,110,4.0455,1.1916
Pull the rug out from under someone,106,4.566,0.8167
Push someone's buttons,108,4.8333,0.3986
Push your luck,105,4.9048,0.3259
Put a damper on something,110,4.4364,0.9533
Put all one's eggs in one basket,108,4.7593,0.5939
Put all your cards on the table,100,4.79,0.456
Put down roots,100,4.03,1.3593
Put on a brave face,102,4.598,0.8704
Put one's foot down,108,4.8981,0.4088
Put oneself in someone else's shoes,103,4.8835,0.3224
Put out feelers,101,3.7525,1.4725
Put someone in their place,102,4.8137,0.5214
Put someone on the spot,108,4.7778,0.5354
Put someone out of their misery,108,4.8148,0.5662
Put something on the map,108,4.3241,1.0663
Put something to bed,102,4.2941,1.0107
Put words into someone's mouth,101,4.802,0.5103
Put your back into it,108,4.3704,1.073
Quake in one's boots,108,4.4167,1.0151
Rack one's brain,102,4.6471,0.8283
Rain on someone's parade,100,4.84,0.5069
Rake someone over the coals,108,4.0556,1.3523
Rattle someone's cage,102,4.451,0.8632
Reach the boiling point,107,4.6168,0.7604
Read between the lines,108,4.8704,0.3889
Read someone like a book,103,4.8738,0.388
Read someone's mind,101,4.8515,0.5174
Read too much into something,103,4.767,0.5277
Recharge one's batteries,102,4.5882,0.8484
Reinvent the wheel,102,4.4118,0.9785
Remain nameless,106,4.283,1.1691
Rest one's case,108,4.6944,0.6898
Rise to the bait,102,3.1275,1.5962
Rock the boat,101,4.604,0.8376
Roll out the red carpet,101,4.6337,0.8333
Roll up one's sleeves,107,4.4953,0.9454
Roll with the punches,105,4.7048,0.6923
Rub someone's nose in something,110,4.6818,0.7286
Run someone ragged,106,4.3868,1.0741
Run something into the ground,108,4.5278,0.8141
Saved by the bell,108,4.7222,0.7341
Say something behind someone's back,108,4.75,0.8103
Say something under one's breath,106,4.6509,0.8286
Scare someone out of their wits,103,4.6019,0.8324
Scare the living daylights out of someone,110,4.8091,0.5157
Score points with someone,100,4.45,0.9143
Scrape the bottom of the barrel,100,4.5,0.9045
Scratch the surface,102,4.6863,0.7173
See the color of someone's money,100,2.83,1.393
See the light,100,4.77,0.6172
See the light of day,105,4.6,0.9051
Sell like hot cakes,106,4.7736,0.6216
Sell someone short,100,4.63,0.8246
Send a chill down one's spine,110,4.8273,0.5043
Send someone packing,102,4.7451,0.6083
Set the record straight,110,4.8545,0.4248
Set the stage,100,4.6061,0.7385
Set up shop,103,4.5243,0.8614
Set your heart on something,100,4.77,0.6491
Share common ground,100,4.69,0.662
She won't bite,105,4.619,0.8249
Shoot oneself in the foot,100,4.6364,0.8487
Shoot the breeze,108,4.4352,1.0789
Shout something from the rooftops,103,4.6408,0.7651
Show one's true colors,102,4.902,0.2988
Show someone the door,108,4.713,0.6705
Show someone who's boss,108,4.7593,0.7087
Sign on the dotted line,108,4.6574,0.7991
Sing someone's praises,110,4.5545,0.8523
Sink or swim,103,4.7573,0.7471
Sit up and take notice,103,4.4757,0.9686
Sleep like a baby,110,4.9,0.4052
Slip someone's mind,101,4.8317,0.4017
Smell a rat,108,4.6944,0.7164
Soften the blow,102,4.6961,0.7934
Someone's bark is worse than their bite,102,4.8725,0.3898
Someone's days are numbered,100,4.81,0.5631
Someone's hands are tied,105,4.8,0.5948
Something has seen better days,105,4.8667,0.3939
Something the cat dragged in,107,4.5327,0.9348
Speak the same/someone's language,105,4.8095,0.5206
Speak your mind,102,4.8039,0.6899
Spill one's guts,106,4.783,0.5691
Spread one's wings,103,4.6311,0.6714
Spread oneself too thin,100,4.5,1
Stand one's ground,108,4.8333,0.4834
Stand out from the crowd,103,4.767,0.703
Stand the test of time,106,4.717,0.7139
Stay on track,108,4.6759,0.7212
Steal someone's thunder,100,4.68,0.7505
Steal the show,100,4.82,0.5752
Stick one's neck out,106,4.5755,0.9456
Strike a chord with someone,108,4.5833,0.7627
Strike gold,100,4.77,0.6006
Strike while the iron is hot,102,4.3431,1.0763
Swallow one's pride,103,4.8544,0.4517
Sweep the board,103,3.1553,1.4803
Take a beating,108,4.7685,0.5737
Take a bite out of something,107,3.9813,1.3245
Take a raincheck,107,4.757,0.6707
Take a trip down memory lane,103,4.8932,0.3104
Take its toll,110,4.7727,0.5851
Take one's breath away,100,4.89,0.3732
Take someone at their word,103,4.6019,0.7839
Take someone down a peg or two,101,4.396,1.0962
Take someone under one's wing,102,4.8627,0.4231
Take something by storm,107,4.514,0.9353
Take something the wrong way,102,4.7941,0.65
Take the cake,108,4.1667,1.2036
Take the easy way out,100,4.84,0.5069
Take the edge off something,108,4.6852,0.6212
Take the plunge,103,4.6796,0.6296
Take the rap for something,108,4.7037,0.6594
Take your pick,102,4.3922,1.0545
Talk shop,101,3.8416,1.3692
Teach someone a thing or two,105,4.8095,0.5018
Teach someone the ropes,108,4.7963,0.5597
Tear your hair out,103,4.6408,0.712
Tempt fate,103,4.4466,0.9875
Test the waters,108,4.713,0.642
Thank ones lucky stars,107,4.7009,0.6897
The honeymoon is over,100,4.5,1
Think on one's feet,100,4.59,0.8539
Think outside the box,105,4.9048,0.4049
Throw a fit,100,4.72,0.6828
Throw caution to the wind,103,4.7087,0.695
Throw one's hat in the ring,103,4.233,1.1649
Throw someone a curveball,108,4.7685,0.5571
Throw someone off balance,107,4.5981,0.8226
Throw someone to the dogs,100,4.47,0.8582
Throw your weight around,100,4.48,0.9264
Tie up loose ends,101,4.7525,0.59
Tip the balance,108,4.0463,1.2484
To go ape,110,4.3455,0.9994
To mean business,106,4.8019,0.576
Touch base,110,4.5909,0.8272
Treat someone like dirt,102,4.8922,0.342
Tug at someone's heartstrings,108,4.6296,0.8156
Turn a deaf ear to something,100,4.43,1.0469
Turn over a new leaf,100,4.74,0.6609
Turn something inside out,101,4.1584,1.1111
Turn the tables,107,4.7383,0.6492
Turn your back on something,100,4.68,0.7231
Twist someone's arm,107,4.7103,0.6869
Up the ante,106,4.566,0.9564
Upset the applecart,103,2.5825,1.6892
Use someone as a punching bag,102,4.6765,0.6319
Vanish into thin air,102,4.7843,0.5738
Wait on someone hand and foot,103,4.7379,0.7271
Walk on air,108,4.5926,0.7738
Walk on eggshells,110,4.6818,0.7411
Want a piece of the action,110,4.4091,1.0253
Waste one's breath,108,4.7778,0.5176
Watch one's mouth,108,4.5463,0.9411
Watch someone like a hawk,107,4.8411,0.4788
Watch your back,101,4.6832,0.8824
Wear more than one hat,110,4.0909,1.3031
Wear one's heart on their sleeve,100,4.66,0.7813
Welcome someone with open arms,108,4.9444,0.2301
Whet someone's appetite,100,3.78,1.4255
Wield the axe,102,3.0784,1.405
Win brownie points,103,4.767,0.5637
Wine and dine someone,107,4.5514,0.9638
Wipe the grin off someone's face,103,4.6505,0.7503
With a vengeance,110,4.4,1.051
With bated breath,105,3.381,1.6016
With one's back to the wall,110,4.3364,1.0775
Without missing a beat,105,4.7905,0.4941
Won't break the bank,103,4.6699,0.6005
Work like a charm,106,4.8868,0.3734
Wrap someone around one's little finger,108,4.8796,0.3798
Write the book on something,100,4.43,1.0372
Zip one's lip,105,4.5619,0.9295
