Expression,"Familiarity (1 = low, 5 = high)",Familiarity SD,"Meaningfulness (1 = low, 5 = high)",Meaningfulness SD,"Literal Plausibility (1 = low, 5 = high)",Literal Plausibility SD,"Verb Relatedness (1 = low, 5 = high)",Verb Relatedness SD,"Noun Relatedness (1 = low, 5 = high)",Noun Relatedness SD,Global Decomposability Proportion,Normal Decomposability Proportion,Predictability of final word
He kicked the bucket,2.97,0.95,3.5,0.37,4.77,0.9,0.8,1.04,0.54,1.07,0.17,0,0.04
He kicked the habit,4.3,0.81,4.93,0.18,1.47,1.09,2.31,1.28,4.37,1.15,0.75,0.64,0.11
She killed the time,4.2,1.03,4.77,0.57,1.33,0.8,1.67,0.99,3.37,1.27,0.5,0.27,0
She knew the score,3.8,1.1,4.17,1.02,4.63,0.96,4.72,0.65,2.45,0.95,0.76,0.5,0.11
He knit his brow,2.3,1.34,3.17,1.68,1.53,0.78,1.63,0.93,3.9,1.16,0.54,0.89,0.11
She knocked the habit,3.03,1.22,4.43,1.1,1.63,1.16,2,0.91,4.27,1.08,0.62,0.8,0
She laid an egg,2.17,1.39,2.5,1.57,2.97,1.61,1.3,0.65,1.33,0.76,0.05,0,0.61
She landed a blow,2.8,1.21,3.63,0.81,2,1.24,2.4,0.78,3.83,0.4,0.75,0.77,0.03
He landed the job,4.17,1.3,4.8,1.5,1.8,1.23,1.73,1.43,4.9,1.44,0.76,0.79,0.43
He learned the ropes,2.87,1.57,3.2,1.68,1.2,1.31,4.56,1.29,1.78,1.09,0.67,0.44,0.06
He left her cold,3.27,1.28,4.03,1.19,3.27,1.11,1.87,0.9,2.7,1.42,0.35,0.6,0
He lent an ear,3.37,1.3,4.7,0.6,1.7,0.99,2.33,1.03,4.7,0.7,0.84,0.59,0.21
She licked her wounds,2.86,1.33,4.36,0.99,3.8,1.42,1.97,1.07,3.07,1.2,0.45,0.44,0.07
He lifted her spirits,4.33,0.88,4.8,0.76,1.63,1.03,3.83,0.99,4,1.08,0.86,0.67,0.07
He lined his pockets,2.93,1.62,3.47,1.66,3.6,1.22,1.7,0.7,2.93,1.14,0.16,0.25,0.07
She lived a lie,3.87,1.01,4.57,0.86,1.9,1.27,2.97,1.38,4.13,0.97,0.86,0.76,0.25
She lost her head,3.67,1.32,4.6,1.2,2.27,1.36,4.17,0.93,2.73,1.3,0.62,0.67,0.29
He lost his cool,4.4,0.92,4.93,1.4,1.53,0.94,2.6,0.9,2.83,0.94,0.69,0.75,0.04
He lost his nerve,4.37,1.37,4.87,1.49,1.5,1.24,3.97,1,3.57,1.01,0.76,0.86,0.07
He lost his seat,2.7,1.43,3.1,1.39,4.1,0.83,4.03,0.99,2.73,1.18,0.74,0.75,0
He lost his shirt,3.47,1.09,3.83,0.67,4.73,1.6,4.33,1.09,2.1,1.14,0.56,0.37,0
He lost his touch,4.12,0.93,3.88,0.35,2.11,0.86,3.81,1.1,1.98,1.22,0.67,0.52,0
He lost the thread,1.67,1,2.1,0.37,4.47,1.11,3.77,1.33,1.77,1.37,0.44,0.4,0
