Expression,Unknown,Mean_C,SD_C,N,Min,Max
a go,1,3,1.4907119849998598,10,1,5
a golden key can open any door,0,1,0,10,1,1
a goner,0,2.3,1.3374935098492586,10,1,5
a good,3,2.727272727272727,1.4206272622267313,11,1,5
a good beginning makes a good ending,0,1.9,1.449137674618944,10,1,5
a good deal,0,2.235294117647059,1.147247344990711,17,1,4
a good deal of,1,1.7,0.6749485577105528,10,1,3
a good few,0,2.272727272727273,1.348399724926484,11,1,4
a good man is hard to find,0,1.9090909090909092,1.300349603340998,11,1,5
a good many,2,3,1.0954451150103321,11,2,5
a good sport,0,2.7,1.5670212364724212,10,1,5
a goof-off,0,2,1.247219128924647,10,1,5
a gray area,1,2.727272727272727,1.1908743922772957,11,1,5
a great deal,0,2.5454545454545454,1.5075567228888183,11,1,5
a great deal of,0,2.090909090909091,1.3751033019046572,11,1,5
a great many,0,3.3,1.5670212364724212,10,1,5
a grey area,0,3,1.2649110640673518,11,1,5
a hair out of place,0,2,0.9428090415820634,10,1,4
a handful,0,3.3,1.636391694484477,10,1,5
a handful of,0,2.5,1.2692955176439846,10,1,4
a hang-up,0,2.5,1.4337208778404378,10,1,5
a hard man is good to find,0,1.6666666666666667,1.3026778945578592,12,1,5
a hard nut to crack,0,2.7,1.3374935098492586,10,1,5
a hard pill to swallow,0,1.6363636363636365,1.2862913567871994,11,1,5
a heart-to-heart,2,1.9,0.8755950357709131,10,1,3
a heck of a lot,0,1.6,0.699205898780101,10,1,3
a heel,0,4.181818181818182,1.1677484162422844,11,2,5
a hell of a lot,0,1.9,1.286683937707919,10,1,5
a hiding to nothing,1,1.9,1.1972189997378648,10,1,5
a high-flyer,0,2.6,1.2649110640673518,10,1,5
"a horse, a horse, my kingdom for a horse",4,1.9230769230769231,1.0377490433255416,13,1,4
a hot potato,1,3.727272727272727,1.6787441193290353,11,1,5
a house divided against itself cannot stand,1,2.4,1.6465452046971292,10,1,5
a house is not a home,0,1.9,1.3703203194062976,10,1,5
a house of cards,0,2.6,1.577621275493231,10,1,5
a house of ill repute,1,2.7,2.0027758514399734,10,1,5
a hundred times,0,3.3,1.70293863659264,10,1,5
a journey of a thousand miles begins with a single step,0,1.8,1.2292725943057183,10,1,5
a kick in the guts,0,2.2,1.4757295747452437,10,1,5
a kick in the pants,2,1.7,0.8232726023485646,10,1,3
a kick in the seat,3,2.5,1.35400640077266,10,1,5
a kick in the seat of the pants,1,2.3636363636363638,1.5015143870590966,11,1,5
a kick in the stomach,0,2.9,1.286683937707919,10,1,5
a kick in the teeth,1,2.1,1.449137674618944,10,1,5
a kickback,3,2.4,0.8432740427115678,10,1,4
a knight in shining armour,0,3.5,1.509230856356236,10,1,5
à la carte,3,2.8,1.6865480854231356,10,1,5
à la mode,5,2.9,1.728840330651992,10,1,5
a lack of,0,2.2,1.2292725943057183,10,1,4
a large range of,3,2.2,1.398411797560202,10,1,5
a laugh a minute,1,2.7,1.8287822299126937,10,1,5
a leg to stand on,0,2.7,1.636391694484477,10,1,5
a legend in one's own lifetime,0,1.7,0.9486832980505138,10,1,4
a leopard can't change his spots,0,2,1.0540925533894598,10,1,4
a leopard cannot change its spots,0,1.7,1.0593499054713802,10,1,4
a let down,0,1.4,0.699205898780101,10,1,3
A level,0,3.8333333333333335,1.4668044012461754,12,1,5
a lick and a promise,5,1.9090909090909092,1.2210278829367867,11,1,4
a likely story,1,1.8,1.3165611772087666,10,1,5
a little,0,2.6,1.1737877907772674,10,1,4
a little bird told me,0,2,1.699673171197595,10,1,5
a little birdie told me,1,1.3,0.48304589153964794,10,1,2
a little bit,2,2.5454545454545454,1.3684762594679065,11,1,5
a little bit of,0,2.2,0.9189365834726815,10,1,4
a little bit of bread and no cheese,2,3.3,1.888562063228706,10,1,5
a little knowledge is a dangerous thing,0,1.4,0.5163977794943222,10,1,2
a little learning is a dangerous thing,1,2.1,1.66332999331662,10,1,5
a little of what you fancy does you good,0,3.1,1.728840330651992,10,1,5
a load of baloney,0,2,1.5491933384829668,11,1,5
a load of cobblers,1,2.909090909090909,1.4459976109624424,11,1,5
a load of codswallop,2,1.6,0.9660917830792959,10,1,4
a lone wolf,0,2.1,1.1972189997378648,10,1,4
a long shot,0,2,1.5491933384829668,11,1,5
a long time,1,1.8333333333333333,1.1504474832710556,18,1,5
a long way,0,2.5833333333333335,1.5642792899510294,12,1,5
a loose end,0,1.7,1.0593499054713802,10,1,4
a lost cause,0,1.6666666666666667,1.3284223283101428,18,1,5
a lot,0,2.9,1.449137674618944,10,1,5
a lot at stake,1,2,1.4907119849998598,10,1,5
a lot of,0,2.090909090909091,1.3751033019046572,11,1,5
a lot of baloney,0,1.8,1.3165611772087666,10,1,5
a lot on your plate,0,2,1.247219128924647,10,1,5
a low profile,0,1.8181818181818181,1.1677484162422844,11,1,4
a lump in my throat,0,2.3333333333333335,1.3026778945578592,12,1,5
A major,0,3.090909090909091,1.7002673586554236,11,1,5
a majority of,0,2.6363636363636362,1.6292775867068985,11,1,5
a man after my own heart,3,1.7,1.2516655570345725,10,1,5
a man is known by his friends,0,1.7,1.3374935098492586,10,1,5
a man of few words,0,2.1,1.286683937707919,10,1,5
a man of his word,0,2.090909090909091,1.300349603340998,11,1,4
a man who is his own lawyer has a fool for a client,0,2.3,1.636391694484477,10,1,5
a matter of life and death,0,2.9166666666666665,1.4433756729740645,12,1,5
a matter of life or death,0,2.3,1.3374935098492586,10,1,5
a matter of time,0,2.1,1.3703203194062976,10,1,5
a mere,0,1.7272727272727273,1.1908743922772957,11,1,5
a method to the madness,0,1.9,1.286683937707919,10,1,4
a mile a minute,0,2,1.4907119849998598,10,1,5
a million times,1,2.6363636363636362,1.5015143870590966,11,1,5
a millstone around one's neck,6,2.727272727272727,1.6787441193290353,11,1,5
a ministering angel shall my sister be,6,1.5,0.7071067811865476,10,1,3
a minority of,0,2.272727272727273,1.4206272622267313,11,1,5
a miss is as good as a mile,0,2,1.632993161855452,10,1,5
a mixed bag,0,3.2,1.398411797560202,10,1,5
a month of sundays,2,1.5,0.8498365855987975,10,1,3
a must,0,2.1,0.9944289260117533,10,1,4
a nation of shopkeepers,3,3.1,1.5238839267549948,10,1,5
a necessary evil,0,2,1.4907119849998598,10,1,5
a nervous wreck,0,2,1.247219128924647,10,1,4
a nest of vipers,0,2.8181818181818183,1.7215215257545762,11,1,5
a new broom sweeps clean,3,2.5,1.4337208778404378,10,1,5
a new dawn,2,1.6,0.8432740427115678,10,1,3
a no-brainer,0,2,1.632993161855452,10,1,5
a No. 1,1,2.4166666666666665,1.5050420310248864,12,1,5
a nod is as good as a wink,4,1.8125,1.3768926368215255,16,1,5
a nod is as good as a wink to a blind horse,0,1.6923076923076923,0.9473309334313419,13,1,3
a notch above,0,2.090909090909091,1.5782614139961386,11,1,5
a number of,0,2.5,1.2692955176439846,10,1,5
a one,5,3.1,1.3703203194062976,10,1,5
a pair,1,3.5454545454545454,1.2933395813657265,11,1,5
