Expression,Unknown,Mean_C,SD_C,N,Min,Max
late binding,3,3,1.3333333333333333,10,1,5
late blight,7,2.4545454545454546,1.3684762594679065,11,1,5
late bloomer,0,2.1,1.286683937707919,10,1,5
late checkout,0,2.7,1.4944341180973264,10,1,5
late developer,0,2.6,1.429840705968481,10,1,5
late fall,0,2.6,0.8432740427115678,10,1,4
late father,2,3.2,1.2292725943057183,10,1,5
late greek,8,2.727272727272727,1.4206272622267313,11,1,5
late husband,0,3.3157894736842106,1.1572300058975777,19,2,5
late in life,0,2.4,1.3498971154211057,10,1,5
late in the day,0,3.1,1.5238839267549948,10,1,5
late innings,3,2.125,1.0878112581387147,16,1,4
late model,3,3.3,1.3374935098492586,10,2,5
late night,0,2.8,1.5491933384829668,10,1,5
late show,0,3.1,1.1972189997378648,10,1,5
late spring,0,3.272727272727273,1.1908743922772957,11,1,5
late summer,1,3.2,1.0327955589886444,10,2,4
late winter,0,4.1,1.1972189997378648,10,2,5
late-night hour,0,2.4,1.1737877907772674,10,1,4
latent content,1,2.3,1.2516655570345725,10,1,4
latent heat,1,2.6363636363636362,1.8040358795061295,11,1,5
latent period,0,2.5454545454545454,1.4396969378057567,11,1,5
later on,1,2.5,1.7795130420052185,10,1,5
lateral consonant,5,2.727272727272727,1.8488325554743508,11,1,5
lateral line,1,3.2,1.1352924243950935,10,1,5
lateral pass,1,3.6,1.0749676997731399,10,2,5
lateral thinker,1,1.5454545454545454,0.8201995322647244,11,1,3
lateral thinking,0,2,1.3333333333333333,10,1,4
lateral transfer,3,2.6,1.577621275493231,10,1,5
latex glove,0,4.6,0.9660917830792959,10,2,5
latex paint,0,4.7,0.48304589153964794,10,4,5
lather up,0,3.3,1.3374935098492586,10,1,5
"lather, rinse, repeat",0,2.8333333333333335,1.6966991126265962,12,1,5
latin alphabet,0,3.4,1.2649110640673518,10,1,5
Latin America,0,4.9,0.31622776601683794,10,4,5
Latin American,0,4,1.1547005383792515,10,2,5
latin cross,2,3.7,1.5670212364724212,10,1,5
latin dance,0,4.1,1.449137674618944,10,1,5
latin lover,4,2.7,1.5670212364724212,10,1,5
latin name,0,3.7,1.1595018087284057,10,1,5
latin phrases,1,3.4,1.2649110640673518,10,1,5
latin square,6,2.8181818181818183,1.4012980994907414,11,1,5
latter-day saint,1,2,1.247219128924647,10,1,4
latter-day saints,0,4.2,1.0327955589886444,10,2,5
lattice window,0,4.545454545454546,0.8201995322647244,11,3,5
latticed window,1,3.7,1.2516655570345725,10,1,5
laugh a minute,4,2.3,1.3374935098492586,10,1,4
laugh all the way to the bank,0,2.4,1.505545305418162,10,1,5
"laugh and the world laughs with you, weep and you weep alone",0,1.6,1.0749676997731399,10,1,4
laugh at,0,3.4,1.1737877907772674,10,1,5
laugh away,0,2.4,1.1737877907772674,10,1,4
laugh in one's sleeve,1,3,1.7638342073763937,10,1,5
laugh it off,0,1.7,1.0593499054713802,10,1,4
laugh like a drain,10,1.7777777777777777,0.8084520834544433,18,1,3
laugh line,0,3.5,1.4337208778404378,10,2,5
laugh lines,0,4.1,0.8755950357709131,10,3,5
laugh off,0,1.6842105263157894,0.6710382982072027,19,1,3
laugh one's head off,0,2.2,1.5491933384829668,10,1,5
laugh out of court,1,1.7,0.8232726023485646,10,1,3
laugh track,2,3.1,1.449137674618944,10,1,5
laugh up one's sleeve,1,1.7,1.0593499054713802,10,1,4
laugh up your sleeve,0,2,1.0540925533894598,10,1,4
laugh your head off,1,2.7,1.636391694484477,10,1,5
laugh yourself sick,1,2.411764705882353,1.121317502394603,17,1,5
laugh yourself silly,0,2.5384615384615383,1.2659242088545832,13,1,5
laughing gas,0,4.181818181818182,1.2504544628399563,11,1,5
laughing gull,1,2.6,1.776388345929897,10,1,5
laughing kookaburra,8,3.2857142857142856,1.2666473875533018,14,1,5
laughing stock,0,2,1,11,1,4
laughing-stock,1,1.6666666666666667,0.778498944161523,12,1,3
laughter is the best medicine,0,1.6,0.9660917830792959,10,1,4
laughter lines,1,3.588235294117647,1.5434872662825796,17,1,5
launch a counterattack,0,1.8333333333333333,1.5275252316519468,12,1,5
launch area,0,3.727272727272727,1.1037127426019047,11,2,5
launch complex,7,2.9,1.5951314818673865,10,1,5
launch into,0,2.4545454545454546,1.2933395813657265,11,1,5
launch off,2,3.2,1.4757295747452437,10,1,5
launch out,3,2.5454545454545454,1.2135597524338357,11,1,5
launch pad,0,4.2727272727272725,0.7862453931068965,11,3,5
launch party,2,2.9,1.1005049346146119,10,1,4
launch vehicle,0,3.727272727272727,0.7862453931068965,11,3,5
launching pad,0,3.909090909090909,1.2210278829367867,11,1,5
launching site,0,3.8,1.6193277068654826,10,1,5
laundered money,0,3.7,1.4181364924121764,10,1,5
laundry bag,0,4.818181818181818,0.6030226891555273,11,3,5
laundry basket,1,4.6,1.2649110640673518,10,1,5
laundry cart,1,4.5,1.0801234497346435,10,2,5
laundry chute,0,5,0,11,5,5
laundry detergent,0,4.8,0.4216370213557839,10,4,5
laundry hamper,0,4.2727272727272725,1.2720777563426766,11,1,5
laundry hanger,0,3.8,1.6865480854231356,10,1,5
laundry list,0,3.7,1.5670212364724212,10,1,5
laundry room,0,4.636363636363637,0.674199862463242,11,3,5
laundry sink,0,4,1.1832159566199232,11,2,5
laundry soap,1,5,0,10,5,5
laundry trolley,0,4.583333333333333,0.90033663737852,12,2,5
laundry truck,0,4.2,1.3165611772087666,10,1,5
laundry tub,0,3.6,1.429840705968481,10,1,5
laurel family,9,4,1.2403473458920846,14,2,5
laurel tree,1,4.7,0.6749485577105528,10,3,5
laurel wreath,1,4.1,1.1005049346146119,10,2,5
lauric acid,4,4.7272727272727275,0.46709936649691375,11,4,5
lava dome,3,4.1,1.1005049346146119,10,2,5
lava flow,0,4.6,0.5163977794943222,10,4,5
lava lamp,0,4.454545454545454,1.2135597524338357,11,1,5
lava tube,5,4.6,0.699205898780101,10,3,5
lavatory paper,1,4.8,0.4216370213557839,10,4,5
lavatory sink,0,4.7,0.48304589153964794,10,4,5
lavender cotton,0,4.545454545454546,0.6875516509523286,11,3,5
lavender language,6,1.8,1.4757295747452437,10,1,5
lavender water,2,4.7272727272727275,0.46709936649691375,11,4,5
lavish ceremony,0,2.8,1.1352924243950935,10,1,4
lavish hospitality,1,2.3,1.0593499054713802,10,1,4
lavish on,2,2.8,0.9189365834726815,10,1,4
lavish praise,2,2.5,1.509230856356236,10,1,5
lavish upon,3,2.5,1.7795130420052185,10,1,5
lavish with,2,2.4545454545454546,1.0357254813546264,11,1,4
law abiding,1,2.6363636363636362,1.5666989036012806,11,1,5
law agent,2,3.8,1.398411797560202,10,1,5
law and order,0,2.5454545454545454,1.3684762594679065,11,1,5
law breaking,0,2.1,1.5238839267549948,10,1,5
law court,0,4.1,0.8755950357709131,10,3,5
law degree,0,3.5,1.4337208778404378,10,1,5
law enforcement agency,0,3.4,1.2649110640673518,10,2,5
law enforcement agent,0,4,1.0540925533894598,10,2,5
law firm,0,4.2727272727272725,0.9045340337332909,11,3,5
law lord,4,2.4,1.1737877907772674,10,1,5
law lords,4,3.2,1.0327955589886444,10,2,5
law merchant,3,3.7,1.4181364924121764,10,1,5
law of attraction,0,3.1,1.5238839267549948,10,1,5
law of averages,0,2.5454545454545454,1.694912172570388,11,1,5
law of closure,4,2.6363636363636362,1.3618169680781094,11,1,5
law of common fate,4,1.4,0.8432740427115678,10,1,3
law of conservation of mass,1,2,1.247219128924647,10,1,5
law of constant proportion,1,1.5,0.97182531580755,10,1,4
law of diminishing returns,2,2.6,1.577621275493231,10,1,5
law of effect,2,2.2,0.7888106377466155,10,1,3
law of excluded middle,3,1.7272727272727273,0.9045340337332909,11,1,4
law of large numbers,2,2.1818181818181817,1.3280197150781925,11,1,5
law of mass action,1,2.272727272727273,1.348399724926484,11,1,5
law of motion,0,2.3636363636363638,1.433368568981982,11,1,5
law of nature,1,1.7,1.2516655570345725,10,1,4
law of parsimony,3,2.2666666666666666,1.3345232785352157,15,1,5
law of proximity,0,2.4545454545454546,1.3684762594679065,11,1,5
law of segregation,1,2.8,1.7511900715418263,10,1,5
law of similarity,1,2.8181818181818183,1.662418829187267,11,1,5
law of the jungle,0,2.0833333333333335,0.7929614610987591,12,1,3
law offender,0,3.2,1.1352924243950935,10,1,5
law officer,0,4.6,0.9660917830792959,10,2,5
law professor,0,4.363636363636363,0.9244162777371754,11,2,5
law school,0,4.052631578947368,1.3112201362143716,19,1,5
law society,2,2.4,0.9660917830792959,10,1,4
law student,0,3.5,1.4337208778404378,10,1,5
law unto yourself,3,2,1.0954451150103321,11,1,4
law-abiding,0,2.2,1.3165611772087666,10,1,5
lawn aerator,3,4.6,0.5163977794943222,10,4,5
lawn bowling,2,3.3,1.4181364924121764,10,1,5
lawn cart,1,4.6,0.9660917830792959,10,2,5
lawn chair,0,4.909090909090909,0.30151134457776363,11,4,5
lawn furniture,1,4.636363636363637,0.8090398349558905,11,3,5
lawn mower,0,4.9,0.31622776601683794,10,4,5
lawn ornament,0,4.5,0.7071067811865476,10,3,5
lawn party,0,4.363636363636363,0.674199862463242,11,3,5
lawn sign,0,4.3,1.2516655570345725,10,2,5
lawn sleeves,13,3.3846153846153846,1.3867504905630728,13,1,5
lawn sprinkler,0,4.6,0.699205898780101,10,3,5
lawn sweeper,2,4.4,0.9660917830792959,10,2,5
lawn tennis,1,4.090909090909091,1.4459976109624424,11,1,5
lawn tool,0,4.5,0.5270462766947299,10,4,5
lawn tractor,0,4.8,0.6324555320336759,10,3,5
laws of war,0,2.5454545454545454,1.3684762594679065,11,1,5
lay a finger on,0,2.272727272727273,1.555050423035156,11,1,5
lay a foundation,0,3,1.247219128924647,10,1,5
lay a plan,0,2.090909090909091,1.1361818036340359,11,1,5
lay about,1,2.7,1.4944341180973264,10,1,5
lay about with,1,2.1818181818181817,1.3280197150781925,11,1,4
lay all your cards on the table,0,1.8181818181818181,1.2504544628399563,11,1,5
lay an egg,0,3.1,1.5238839267549948,10,1,5
lay aside,0,2.6,1.505545305418162,10,1,5
lay at the feet of,1,2.6363636363636362,1.5015143870590966,11,1,5
lay away,2,3,1.5634719199411433,10,1,5
lay back,1,3.272727272727273,1.1037127426019047,11,2,5
lay bare,1,2.8,1.2292725943057183,10,1,5
lay before,1,2.5,1.2692955176439846,10,1,5
lay by,1,3.2,1.3165611772087666,10,1,5
lay claim,1,1.7,0.9486832980505138,10,1,4
lay down,0,3.6,1.505545305418162,10,1,5
lay down on the job,1,2,0.8528028654224418,12,1,4
lay down the law,0,1.8,1.1352924243950935,10,1,4
lay down the marker,2,1.6363636363636365,0.8090398349558905,11,1,3
lay down your arms,0,2.8,1.1352924243950935,10,2,5
lay down your life for,0,1.2727272727272727,0.46709936649691375,11,1,2
lay eggs,0,3.8461538461538463,1.4051188470584879,13,1,5
lay emphasis,1,2,1.1547005383792515,10,1,4
lay eyes on,0,2.5,1.2692955176439846,10,1,4
lay figure,1,3.8,1.4757295747452437,10,1,5
lay hands on,0,2.9,1.5238839267549948,10,1,5
lay hold of,0,3.4545454545454546,1.6348477827391983,11,1,5
lay in,0,2.2,1.0327955589886444,10,1,4
lay into,0,2.9,1.7919573407620817,10,1,5
lay it on,1,1.6,0.699205898780101,10,1,3
lay it on the line,0,1.6,1.2649110640673518,10,1,5
lay it on thick,0,2.1,1.286683937707919,10,1,5
lay it on with a trowel,5,2.6363636363636362,1.6292775867068985,11,1,5
lay low,0,2.6,1.3498971154211057,10,1,5
lay odds,1,2.4375,1.1528949070347507,16,1,5
lay of the land,1,2.4,1.2649110640673518,10,1,5
lay off,0,2.4,1.577621275493231,10,1,5
lay on,0,2.6,1.0749676997731399,10,1,4
lay on the line,0,1.7,0.9486832980505138,10,1,3
lay one's cards on the table,0,2.3,1.4181364924121764,10,1,5
lay open,1,2.9,1.728840330651992,10,1,5
lay out,0,2.8181818181818183,0.873862897505303,11,1,4
lay over,0,2.727272727272727,1.7372915179041823,11,1,5
lay over at,2,2.8333333333333335,0.7177405625652734,12,2,4
lay over in,1,2.176470588235294,1.3339459376998313,17,1,5
lay people,0,2.9,1.449137674618944,10,1,5
lay person,2,3.4545454545454546,1.2135597524338357,11,1,5
lay reader,3,2.4,1.0749676997731399,10,1,4
lay rubber,5,2.5,1.1785113019775793,10,1,5
lay siege,0,2.909090909090909,1.300349603340998,11,1,5
lay sister,11,2.8461538461538463,1.1435437497937313,13,1,4
lay something to rest,0,2.1,1.5951314818673865,10,1,5
lay the blame,1,1.8,0.7888106377466155,10,1,3
lay the ground,0,3.2,1.3165611772087666,10,1,5
lay the groundwork,1,3.6,1.2649110640673518,10,1,5
lay the lumber,1,2.8,1.3165611772087666,10,1,5
lay the pipe,0,2.909090909090909,1.4459976109624424,11,1,5
lay to,3,2.2,1.1352924243950935,10,1,4
lay to rest,0,3,1.2792042981336627,12,1,5
lay up,0,3.4545454545454546,1.2933395813657265,11,2,5
lay waste,2,3.5,1.35400640077266,10,1,5
lay waste to,0,2.1818181818181817,1.3280197150781925,11,1,4
lay witness,2,2.7333333333333334,1.0997835284835873,15,1,4
lay your cards on the table,0,2.1,1.286683937707919,10,1,5
lay your hands on,0,3.1,1.5951314818673865,10,1,5
lay-off,0,3.3,1.3374935098492586,10,1,5
layaway plan,2,2.3,1.3374935098492586,10,1,5
layer cake,0,4.818181818181818,0.40451991747794525,11,4,5
laying on,1,3.1818181818181817,1.9400093720485898,11,1,5
laying waste,0,2.8,1.6193277068654826,10,1,5
lazar house,3,3.6363636363636362,1.1200649331826502,11,2,5
laze about,1,2.7,1.4944341180973264,10,1,5
laze around,0,3,1.1547005383792515,10,1,5
laze away,0,1.8181818181818181,1.0787197799411874,11,1,4
lazy bones,1,1.7,1.0593499054713802,10,1,4
lazy daisy,2,2.2,1.3165611772087666,10,1,5
lazy eye,0,3.8181818181818183,1.3280197150781925,11,1,5
lazy sunday,0,2.3,1.2516655570345725,10,1,4
lazy susan,1,4.2,1.2292725943057183,10,1,5
lcd monitor,5,4.6,0.9660917830792959,10,2,5
lcd projector,1,4.818181818181818,0.40451991747794525,11,4,5
lcd screen,0,4.4,1.0749676997731399,10,2,5
LDS Church,5,3.588235294117647,1.4602578338007541,17,1,5
lead a life,2,1.9,1.1005049346146119,10,1,4
lead astray,1,2.4,1.2649110640673518,10,1,4
lead balloon,1,3.9,1.3703203194062976,10,1,5
lead bank,3,3.6,1.505545305418162,10,1,5
lead by the nose,1,2,0.9428090415820634,10,1,4
lead character,1,3.6363636363636362,1.2060453783110545,11,2,5
lead down the garden path,1,2.8181818181818183,1.4012980994907414,11,1,5
lead foot,2,2.4545454545454546,1.3684762594679065,11,1,5
lead glass,2,4.2727272727272725,1.009049958219026,11,2,5
lead guitar,0,3.6,1.0749676997731399,10,2,5
lead into,2,2.7,1.4181364924121764,10,1,5
lead into temptation,0,2.6,1.505545305418162,10,1,5
lead nowhere,0,2.3333333333333335,1.3706888336846839,12,1,5
lead off,1,2.2,0.9411239481143202,15,1,5
lead off from,0,2.272727272727273,1.1037127426019047,11,1,4
lead on,0,1.7,1.1595018087284057,10,1,4
lead ore,1,3.909090909090909,1.1361818036340359,11,2,5
lead pencil,0,4.636363636363637,1.2060453783110545,11,1,5
lead poisoning,0,3.2,1.4757295747452437,10,1,5
lead replacement petrol,3,3.5454545454545454,1.3684762594679065,11,1,5
lead role,0,3.6,1.0749676997731399,10,2,5
lead sheet,2,4,1.61245154965971,11,1,5
lead shot,1,3.5,1.4337208778404378,10,1,5
lead singer,0,4.2727272727272725,1.009049958219026,11,2,5
lead somebody astray,0,1.9,0.9944289260117533,10,1,3
lead somebody up the garden path,0,2.2,1.5491933384829668,10,1,5
lead someone by the nose,2,1.6,0.8432740427115678,10,1,3
lead someone down the garden path,1,1.9,1.3703203194062976,10,1,5
lead someone up the garden path,2,2.2941176470588234,1.2631659571466125,17,1,5
lead story,0,2.6363636363636362,1.1200649331826502,11,1,4
lead the line,1,2.5,1.6499158227686108,10,1,5
lead the way,0,3.1,1.449137674618944,10,1,5
lead time,3,2.7,1.1595018087284057,10,1,4
lead to,0,2.7,1.5670212364724212,10,1,5
lead to a dead end,0,1.8,0.9189365834726815,10,1,3
lead to believe,0,1.9,1.3703203194062976,10,1,5
lead tree,4,3.1818181818181817,1.3280197150781925,11,1,5
lead up,0,2.5,1.2692955176439846,10,1,5
lead up the garden path,1,1.6,0.9660917830792959,10,1,4
lead up to,0,2.8,1.0327955589886444,10,1,4
lead with,1,2.1,1.3703203194062976,10,1,5
lead you down the garden path,2,2.1,1.5951314818673865,10,1,5
lead you on,0,2.272727272727273,0.9045340337332909,11,1,4
leaded gasoline,2,4.3,1.0593499054713802,10,2,5
leaded glass,2,4.7,0.6749485577105528,10,3,5
leaded light,6,2.6,1.429840705968481,10,1,5
leaded petrol,3,4.090909090909091,1.1361818036340359,11,2,5
leaded window,3,4.5,1.2692955176439846,10,1,5
leader board,0,3.6,1.577621275493231,10,1,5
leader of the free world,0,3.3,1.4944341180973264,10,1,5
leader of the house,0,2.7,1.1595018087284057,10,1,5
leader of the opposition,0,3.5454545454545454,1.3684762594679065,11,1,5
leading article,0,3.727272727272727,1.1908743922772957,11,2,5
leading astray,3,2.5,0.97182531580755,10,1,4
leading economic indicator,1,2.7,1.5670212364724212,10,1,5
leading edge,0,2.6,1.505545305418162,10,1,4
leading hand,0,2.3,1.4944341180973264,10,1,5
leading lady,0,3.7,1.2516655570345725,10,1,5
leading man,0,3,1.348399724926484,12,1,5
leading off,0,2.6,1.577621275493231,10,1,5
leading question,0,2.3,1.4181364924121764,10,1,5
leading rein,1,3.3,1.4944341180973264,10,1,5
leading role,1,2.5454545454545454,1.2135597524338357,11,1,5
leading tone,3,2.8,1.2292725943057183,10,1,4
leading-edge,3,2.4,1.1737877907772674,10,1,4
leaf beet,8,3.5454545454545454,1.4396969378057567,11,1,5
leaf blade,1,4.5,0.7071067811865476,10,3,5
leaf blight,7,3.3,1.5670212364724212,10,1,5
leaf blower,0,4.8,0.6324555320336759,10,3,5
leaf bud,1,4.636363636363637,0.674199862463242,11,3,5
leaf bug,1,5,0,10,5,5
leaf clover,0,4.5,0.7071067811865476,10,3,5
leaf fat,4,3.1,1.3703203194062976,10,1,5
leaf form,5,3.5454545454545454,1.2135597524338357,11,2,5
leaf green,0,4.1,0.9944289260117533,10,3,5
leaf insect,1,4.818181818181818,0.40451991747794525,11,4,5
leaf lettuce,0,4.4,0.8432740427115678,10,3,5
leaf mold,1,3.8,0.9189365834726815,10,2,5
leaf motif,14,3.8181818181818183,1.3280197150781925,11,1,5
leaf mould,1,4.2,1.2292725943057183,10,1,5
leaf node,2,2.7,1.4944341180973264,10,1,5
leaf out,5,2.5,1.509230856356236,10,1,5
leaf rake,1,4.083333333333333,1.2401124093721456,12,2,5
leaf roller,2,4.6,0.5163977794943222,10,4,5
leaf scorch,9,4.133333333333334,0.990430401872025,15,2,5
leaf shape,1,4.3,0.6749485577105528,10,3,5
leaf soil,6,4.3,0.9486832980505138,10,2,5
leaf spring,6,3.8,1.2292725943057183,10,1,5
leaf through,1,2.6,1.577621275493231,10,1,5
leaf turtle,6,4,1.3333333333333333,10,2,5
leafy liverwort,7,3.727272727272727,1.4893561757289013,11,1,5
leafy vegetable,2,4.363636363636363,0.8090398349558905,11,3,5
league fixture,3,1.9,1.5238839267549948,10,1,5
league match,0,3,0.9428090415820634,10,2,5
league of nations,1,2.5,1.6499158227686108,10,1,5
league season,1,2.9,1.5951314818673865,10,1,5
league standings,0,3.9,1.1972189997378648,10,2,5
league table,2,4.4,0.699205898780101,10,3,5
leak out,2,3.3,1.5670212364724212,10,1,5
leaked out,0,2.909090909090909,1.513574937328539,11,1,5
lean against,2,3.5625,1.547847968417226,16,1,5
lean and mean,0,1.9090909090909092,1.4459976109624424,11,1,5
lean back,1,3.4,0.9660917830792959,10,1,4
lean forward,0,2.8,1.4757295747452437,10,1,5
lean manufacturing,0,3.090909090909091,1.7002673586554236,11,1,5
lean on,0,2.4,1.2649110640673518,10,1,4
lean over,0,3.3,1.636391694484477,10,1,5
lean production,3,2.6,1.429840705968481,10,1,5
lean times,2,2.3,1.1595018087284057,10,1,5
lean to,0,3.1,1.3703203194062976,10,1,5
lean toward,0,4,1.247219128924647,10,1,5
lean towards,1,2,1.247219128924647,10,1,4
lean upon,0,2.4545454545454546,1.3684762594679065,11,1,5
lean-to tent,1,4.1,0.7378647873726218,10,3,5
leaning tower,0,4.5,0.7071067811865476,10,3,5
leap at,1,2.9,1.1972189997378648,10,1,5
leap day,1,3.4,1.577621275493231,10,1,5
leap of faith,0,2.1,1.5238839267549948,10,1,5
leap on,4,3.111111111111111,1.1318329168362204,18,1,5
leap out,1,3.6,1.3498971154211057,10,1,5
leap out at,1,2.272727272727273,1.555050423035156,11,1,5
leap second,4,3.2,1.6193277068654826,10,1,5
leap to conclusions,0,1.9090909090909092,1.044465935734187,11,1,4
leap to mind,3,2.2,1.2292725943057183,10,1,5
leap upon,1,3.4,1.2649110640673518,10,1,5
leap year,0,2.6,0.9660917830792959,10,1,4
leap year day,0,2.6875,1.40089257261219,16,1,5
leaps and bounds,0,2.090909090909091,1.2210278829367867,11,1,4
learn about,0,2.4545454545454546,1.0357254813546264,11,1,4
learn by heart,0,1.6,0.9660917830792959,10,1,4
learn by rote,2,2,0.816496580927726,10,1,3
learn something the hard way,0,1.8181818181818181,1.2504544628399563,11,1,5
learn the hard way,0,1.8,1.3165611772087666,10,1,5
learn the lingo,1,2.4545454545454546,1.1281521496355325,11,1,5
learn the ropes,0,1.7272727272727273,0.7862453931068965,11,1,3
learn your place,0,1.8,1.0327955589886444,10,1,4
learned person,0,2.6923076923076925,1.6012815380508714,13,1,5
learned reaction,0,3,1.8439088914585775,11,1,5
learned response,0,2.5,1.0801234497346435,10,1,4
learner dictionary,0,4.4,0.699205898780101,10,3,5
learner driver,0,4.3,0.9486832980505138,10,2,5
learner permit,2,3.8,1.2292725943057183,10,2,5
learner's permit,0,3.4,1.3498971154211057,10,1,5
learning ability,1,2.4,1.429840705968481,10,1,5
learning curve,0,2.4,1.0749676997731399,10,1,4
learning difficulty,0,2.3636363636363638,1.1200649331826502,11,1,5
learning disability,0,3,1.4907119849998598,10,1,5
learning disabled,0,2.5454545454545454,1.3684762594679065,11,1,5
learning disorder,0,2.9,1.449137674618944,10,1,5
lease giver,0,3.1,1.3703203194062976,10,1,5
leash law,1,3,1.632993161855452,10,1,5
least common denominator,0,2.8,1.3165611772087666,10,1,5
least common multiple,0,2.6,1.577621275493231,10,1,5
least effort,0,2.7,1.8287822299126937,10,1,5
least of all,0,2.2,0.7888106377466155,10,1,4
"least said, soonest mended",2,1.4,0.9660917830792959,10,1,4
leather belt,1,4.5,0.8498365855987975,10,3,5
leather briefcase,0,5,0,11,5,5
leather carp,6,4.3,1.0593499054713802,10,2,5
leather jacket,0,4.8,0.4216370213557839,10,4,5
leather pants,0,5,0,10,5,5
leather recliner,0,3.9,1.1005049346146119,10,2,5
leather soap,2,4.2,0.6324555320336759,10,3,5
leather sofa,0,4.764705882352941,0.5622957145383871,17,3,5
leather straps,1,4.7,0.6749485577105528,10,3,5
leather strip,1,4.2,0.7888106377466155,10,3,5
leather trousers,0,4.8,0.4216370213557839,10,4,5
leather working,1,3.8,1.0327955589886444,10,2,5
leatherback turtle,7,5,0,10,5,5
leave a bad taste in one's mouth,0,1.9,1.1972189997378648,10,1,4
leave a bad taste in your mouth,0,2.4,1.6465452046971292,10,1,5
leave a lot to be desired,0,3,1.4907119849998598,10,1,5
leave a sinking ship,1,1.8823529411764706,1.3173056280328643,17,1,5
leave alone,0,3.1,1.5238839267549948,10,1,5
leave an impression,0,1.9090909090909092,0.9438798074485389,11,1,4
leave aside,1,2.909090909090909,1.3751033019046572,11,1,5
leave be,0,2.2,1.1352924243950935,10,1,4
leave behind,0,2.7058823529411766,1.2631659571466125,17,1,5
leave comment,0,3,1.4142135623730951,11,1,5
leave for,0,3.1,1.286683937707919,10,1,5
leave for dead,0,2.8181818181818183,1.2504544628399563,11,1,5
leave high and dry,1,1.8181818181818181,1.2504544628399563,11,1,5
leave home,0,3.909090909090909,1.2210278829367867,11,1,5
leave in,0,2.2,1.6193277068654826,10,1,5
leave in the lurch,5,2.2,1.0327955589886444,10,1,4
leave it,0,2.909090909090909,1.3751033019046572,11,1,5
leave it at that,1,2.272727272727273,1.348399724926484,11,1,5
leave me alone,0,2.1818181818181817,1.2504544628399563,11,1,5
leave me hanging,0,2.5,1.4337208778404378,10,1,5
leave no stone unturned,0,2.1818181818181817,1.2504544628399563,11,1,4
leave nothing to the imagination,1,1.8,1.2292725943057183,10,1,4
leave number,0,3.4,1.2649110640673518,10,1,5
leave of absence,0,3.5,1.0801234497346435,10,2,5
leave off,1,2.3,1.5670212364724212,10,1,5
leave office,0,2.3,0.9486832980505138,10,1,4
leave on,0,2.6,1.0749676997731399,10,1,4
leave one's mark,1,1.7,1.0593499054713802,10,1,4
leave oneself wide open,0,1.1818181818181819,0.40451991747794525,11,1,2
leave out,0,2.75,1.4847711791873706,12,1,5
leave out in the cold,1,2.3636363636363638,1.2862913567871994,11,1,5
leave out of,1,2.3636363636363638,1.1200649331826502,11,1,5
leave over,4,2.3,1.5670212364724212,10,1,5
leave room,0,2.9,1.1972189997378648,10,1,5
leave somebody holding the baby,0,2.2,1.3165611772087666,10,1,4
leave someone hanging,1,2.5,1.8408935028645435,10,1,5
leave someone high and dry,0,2.5,1.509230856356236,10,1,5
leave someone holding the baby,0,2.5,1.0801234497346435,10,1,4
leave someone holding the bag,1,1.6470588235294117,1.3200935795706035,17,1,5
leave someone in peace,0,2.2,1.6193277068654826,10,1,5
leave someone in the lurch,1,1.9,1.449137674618944,10,1,5
leave someone out in the cold,0,2.5,0.97182531580755,10,1,4
leave the door open,1,2.9,1.66332999331662,10,1,5
leave to be desired,0,2.090909090909091,1.2210278829367867,11,1,5
leave to fate,0,1.6,1.3498971154211057,10,1,5
leave to one's own devices,0,2.111111111111111,1.367216532138064,18,1,5
leave well alone,0,1.6,0.8432740427115678,10,1,3
leave well enough alone,1,2.2,1.2292725943057183,10,1,4
leave you holding the bag,0,2.210526315789474,1.3975751766073286,19,1,5
leave you in the lurch,1,1.8,1.0327955589886444,10,1,4
leave yourself open,0,2.3,1.4181364924121764,10,1,5
leavening agent,1,3.5454545454545454,1.4396969378057567,11,1,5
leaves of three let it be,3,2.4,1.7126976771553504,10,1,5
lech after,2,2.5,1.35400640077266,10,1,5
lecture demonstration,0,3.909090909090909,1.1361818036340359,11,2,5
lecture hall,0,4.166666666666667,0.937436866561092,12,2,5
lecture on,0,2.2,1.3165611772087666,10,1,5
lecture room,0,3.727272727272727,1.2720777563426766,11,1,5
lecture theater,1,4.5,0.5270462766947299,10,4,5
lecture theatre,0,3.8,1.3165611772087666,10,1,5
lecture tour,0,2.4,1.3498971154211057,10,1,5
led by,0,2.5,1.35400640077266,10,1,4
led by the nose,0,2.16,1.106044001535804,25,1,5
LED display,0,4.4,1.2649110640673518,10,1,5
LED light,0,4.4,1.3498971154211057,10,1,5
led to believe,0,2.4,1.6465452046971292,10,1,5
ledger board,3,3.727272727272727,1.1037127426019047,11,2,5
ledger entry,2,4.4,0.699205898780101,10,3,5
ledger line,12,4.0625,1.3400870618483463,16,1,5
ledger paper,2,4.6,0.699205898780101,10,3,5
leech onto,0,2,1.0540925533894598,10,1,4
leeward side,3,3.5,1.1785113019775793,10,2,5
left and right,0,4.2,1.4757295747452437,10,1,5
left arm unorthodox,11,2.0833333333333335,0.90033663737852,12,1,3
left behind,0,2.5,1.2692955176439846,10,1,4
left brain,0,3.6,1.2649110640673518,10,1,5
left field,0,3.5,0.7071067811865476,10,3,5
left fielder,1,3.2,1.8135294011647258,10,1,5
left hand,0,4.2,1.398411797560202,10,1,5
