"","Participant","Survey","Platform","File_date","Thirty_plus","Incomplete","Do_not_know","Correlation","Exclude","RPS_ID","Prolific_ID","Gender","Gender_Self_Describe","Age","Ed_years","Uni_years","Ed_years_calc","English_first","English_fluent"
"1504","R_29uBSiWabDkGSoq","List 6","RPS","02-Apr-20",FALSE,0,0.00909090909090909,0.30222671586039,FALSE,31114,NA,"Female",NA,"19",NA,"3","15","Yes","Completely fluent"
"1505","R_OfKFYpGDffRZb69","List 6","RPS","02-Apr-20",FALSE,0.00228310502283105,0.267123287671233,0.763564167630651,FALSE,28546,NA,"Female",NA,"28",NA,"3","15","No","Completely fluent"
"1506","R_WvXNK3qYtlftwdz","List 6","RPS","02-Apr-20",TRUE,0.617312072892939,0.0364464692482916,NA,NA,32927,NA,"Female",NA,"19",NA,"2","14","No","Completely fluent"
"1507","R_6sQTn7v31459fEZ","List 6","RPS","02-Apr-20",FALSE,0,0.270022883295195,0.843783201525507,FALSE,28396,NA,"Female",NA,"22",NA,"3","15","No","Completely fluent"
"1508","R_2QX6d6TIHfj132P","List 6","RPS","02-Apr-20",FALSE,0,0.0068649885583524,0.0996551522095343,TRUE,34797,NA,"Male",NA,"19",NA,"2","14","Yes","Completely fluent"
"1509","R_1NkUH8hismzvuOz","List 6","RPS","02-Apr-20",FALSE,0,0.186788154897494,0.833263601558713,FALSE,32855,NA,"Female",NA,"20",NA,"3","15","Yes","Completely fluent"
"1510","R_2SDfu1wWSUSBSXY","List 6","RPS","02-Apr-20",FALSE,0.00684931506849315,0,0.769659384733004,FALSE,34108,NA,"Female",NA,"18",NA,"1","13","Yes","Completely fluent"
"1511","R_2qq8anFQcB4hjXC","List 6","RPS","02-Apr-20",FALSE,0,0.175799086757991,0.595666975896299,FALSE,32207,NA,"Female",NA,"19",NA,"2","14","No","Completely fluent"
"1512","R_z7PGfWTcCPWoVr3","List 6","RPS","02-Apr-20",FALSE,0,0.020501138952164,0.830375414732987,FALSE,33876,NA,"Female",NA,"21",NA,"1","13","Yes","Completely fluent"
"1513","R_2QJnXM21vuT6NNU","List 6","RPS","22-Apr-20",FALSE,0,0.106818181818182,0.627761515139648,FALSE,33646,NA,"Female",NA,"19",NA,"1","13","No","Completely fluent"
"1514","R_2E5VH6qQJJkQ15V","List 6","RPS","22-Apr-20",TRUE,0.267734553775744,0.0823798627002288,NA,NA,30309,NA,"Female",NA,"20",NA,"3","15","Yes","Completely fluent"
"1515","R_SDEDwh9Q5ATtgVr","List 6","RPS","22-Apr-20",TRUE,0.0662100456621005,0.0182648401826484,NA,NA,27352,NA,"Female",NA,"22",NA,"5","17","Yes","Completely fluent"
"1516","R_2cjegPDcT0zw21i","List 6","RPS","22-Apr-20",FALSE,0.00228310502283105,0.189497716894977,0.206573294801148,FALSE,31969,NA,"Female",NA,"19",NA,"2","14","Yes","Completely fluent"
"1517","R_31gyDNFQJyTro51","List 6","RPS","22-Apr-20",TRUE,0,0.210526315789474,NA,NA,34539,NA,"Male",NA,"18",NA,"1","13","Yes","Completely fluent"
"1518","R_2Qn5m3WcwaQxDyk","List 6","RPS","22-Apr-20",TRUE,0,0,NA,NA,34052,NA,"Female",NA,"18",NA,"1","13","Yes","Completely fluent"
"1519","R_3LX4HyMMQpG5Deh","List 6","RPS","22-Apr-20",FALSE,0,0.0136674259681093,0.529409855158031,FALSE,34931,NA,"Female",NA,"18",NA,"1","13","No","Completely fluent"
"1520","R_2fuLfQ9j3mveXiV","List 6","RPS","22-Apr-20",FALSE,0,0.0252293577981651,0.807260717578337,FALSE,32398,NA,"Male",NA,"21",NA,"3","15","Yes","Completely fluent"
"1521","R_1ptyNhyaGgikjx6","List 6","RPS","22-Apr-20",FALSE,0.270454545454545,0.00227272727272727,0.355644457304472,FALSE,34913,NA,"Female",NA,"18",NA,"1","13","No","Very fluent"
"1522","R_3ESemAxSMnSVJok","List 6","RPS","22-Apr-20",TRUE,0,0.0320366132723112,NA,NA,33925,NA,"Male",NA,"18",NA,"1","13","Yes","Completely fluent"
"1523","R_1PZsubQ0cBNgnH9","List 6","Prolific","04-Jun-20",FALSE,0,0.0137614678899083,0.584424405167829,FALSE,NA,"5c4f34831b67050001c0b155","Male",-99,"43",13,NA,NA,NA,NA
"1524","R_3jTF8gGY503ksA1","List 6","Prolific","04-Jun-20",FALSE,0,0.0931818181818182,0.560424877903712,FALSE,NA,"5e83b64a71c78f0d979f1896","Male",-99,"23",18,NA,NA,NA,NA
"1525","R_5paxTPksXX1ucnL","List 6","Prolific","04-Jun-20",FALSE,0,0.0478359908883827,0.429036868109247,FALSE,NA,"5eba829dede045022d3b4fa1","Male",-99,"23",16,NA,NA,NA,NA
"1526","R_6RSlhwj7AC7kizv","List 6","Prolific","04-Jun-20",FALSE,0,0.0963302752293578,0.817332254377176,FALSE,NA,"5b8fd8c985ca600001d170e2","Female",-99,"34",19,NA,NA,NA,NA
"1527","R_2AZ7qZELydGLpJ6","List 6","Prolific","04-Jun-20",FALSE,0,0.134703196347032,0.0211651243737257,TRUE,NA,"5ea98905b77cac092cd26bfb","Male",-99,"18",12,NA,NA,NA,NA
"1528","R_2eX5fqtSGgQIxGa","List 6","Prolific","04-Jun-20",FALSE,0,0.160919540229885,0.558826485019917,FALSE,NA,"5e7e223b3c00ce4ba54f7aea","Male",-99,"24",18,NA,NA,NA,NA
"1529","R_2aQqAlqWSAilHm5","List 6","Prolific","04-Jun-20",FALSE,0.00228310502283105,0.19634703196347,0.833933414157867,FALSE,NA,"5e6cafa6850d5124b19c526b","Male",-99,"18",12,NA,NA,NA,NA
"1530","R_3QSsIdwHyfRA3Ny","List 6","Prolific","04-Jun-20",FALSE,0,0.337899543378995,0.71160346396707,FALSE,NA,"5ac48ded5cd1050001622c4a","Female",-99,"23",18,NA,NA,NA,NA
"1531","R_3P80qzXdCN9Rsxm","List 6","Prolific","04-Jun-20",FALSE,0.00909090909090909,0.0590909090909091,-0.225727261934944,TRUE,NA,"5eb016456e883d0544f878a9","Male",-99,"20",14,NA,NA,NA,NA
"1532","R_6Ym2u2i7tCMz61P","List 6","Prolific","04-Jun-20",FALSE,0.0045766590389016,0.173913043478261,0.513762944400248,FALSE,NA,"5e12048c7605fe8839180a14","Male",-99,"18",12,NA,NA,NA,NA
