Expression,Type
bar and grill,Idiom/Fixed expression
bar mitzvah,Idiom/Fixed expression
bar up,Particle verb
bare bone,Idiom/Fixed expression
bare boned,Idiom/Fixed expression
bare bones,Idiom/Fixed expression
bare-bones,Idiom/Fixed expression
barn burner,Idiom/Fixed expression
barnburner,Idiom/Fixed expression
barter away,Particle verb
bas mitzvah,Idiom/Fixed expression
affine transformation,Compound noun
base on,Particle verb
base upon,Particle verb
affinity card,Compound noun
basta la musica,Idiom/Fixed expression
bastille day,Idiom/Fixed expression
bat mitzvah,Idiom/Fixed expression
batchelor's fare,Idiom/Fixed expression
bated breath,Idiom/Fixed expression
affinity group,Compound noun
battle of issus,Idiom/Fixed expression
Battle of Quebec,Idiom/Fixed expression
affirmative pleading,Compound noun
Bay of Pigs,Idiom/Fixed expression
BBC English,Idiom/Fixed expression
BBC World Service,Idiom/Fixed expression
be adrift,Idiom/Fixed expression
be afraid,Idiom/Fixed expression
be after,Idiom/Fixed expression
be born,Idiom/Fixed expression
be called,Idiom/Fixed expression
be careful,Idiom/Fixed expression
bed down,Particle verb
be due,Idiom/Fixed expression
be full,Idiom/Fixed expression
be good for,Idiom/Fixed expression
be here,Idiom/Fixed expression
affordable housing,Compound noun
afro-seminole creole,Compound noun
age discrimination,Compound noun
agency pricing,Compound noun
be known as,Idiom/Fixed expression
be like,Idiom/Fixed expression
be mother,Idiom/Fixed expression
be murder,Idiom/Fixed expression
be sick,Idiom/Fixed expression
bean counter,Idiom/Fixed expression
agglutination test,Compound noun
bear cost,Idiom/Fixed expression
bog down,Particle verb
bear fruit,Idiom/Fixed expression
bear hug,Idiom/Fixed expression
agonic line,Compound noun
bear market,Idiom/Fixed expression
bear on,Particle verb
cardboard cut-out,Compound noun
aids vaccine,Compound noun
because of,Idiom/Fixed expression
become flat,Idiom/Fixed expression
become of,Particle verb
become prey,Idiom/Fixed expression
become you,Idiom/Fixed expression
becomes you,Idiom/Fixed expression
bed and board,Idiom/Fixed expression
bed and breakfast,Idiom/Fixed expression
air conditioning,Compound noun
bed of flowers,Idiom/Fixed expression
bed of roses,Idiom/Fixed expression
couta boat,Compound noun
bedroom eyes,Idiom/Fixed expression
air intake,Compound noun
air spring,Compound noun
air terminal,Compound noun
before christ,Idiom/Fixed expression
before dark,Idiom/Fixed expression
belong to,Particle verb
below average,Idiom/Fixed expression
below par,Idiom/Fixed expression
below stairs,Idiom/Fixed expression
animal lover,Compound noun
camp down,Particle verb
apple turnover,Compound noun
aircraft engine,Compound noun
beneath your breath,Idiom/Fixed expression
aircraft landing,Compound noun
bicarbonate of soda,Idiom/Fixed expression
big-bang theory,Idiom/Fixed expression
bill of costs,Idiom/Fixed expression
bill of entry,Idiom/Fixed expression
bill of exchange,Idiom/Fixed expression
bill of fare,Idiom/Fixed expression
bill of goods,Idiom/Fixed expression
airing cupboard,Compound noun
Bill of Rights,Idiom/Fixed expression
bill of sale,Idiom/Fixed expression
airline business,Compound noun
arc over,Compound noun
airline industry,Compound noun
airport terminal,Compound noun
airspeed indicator,Compound noun
alaska king crab,Compound noun
bipolar affective disorder,Idiom/Fixed expression
bipolar disorder,Idiom/Fixed expression
bird of paradise,Idiom/Fixed expression
bird of passage,Idiom/Fixed expression
bird of peace,Idiom/Fixed expression
bird of prey,Idiom/Fixed expression
birthday suit,Idiom/Fixed expression
black hole of Calcutta,Idiom/Fixed expression
black or white,Idiom/Fixed expression
office building outlet store,Compound noun
black-on-black,Idiom/Fixed expression
due south,Compound noun
dugout canoe,Compound noun
electric outlet,Compound noun
albert chain,Compound noun
block of flats,Idiom/Fixed expression
business office,Compound noun
electrical outlet,Compound noun
alcohol poisoning,Compound noun
board of appeals,Idiom/Fixed expression
board of directors,Idiom/Fixed expression
board of education,Idiom/Fixed expression
board of regents,Idiom/Fixed expression
board of trustees,Idiom/Fixed expression
bone of contention,Idiom/Fixed expression
book of common prayer,Idiom/Fixed expression
book of facts,Idiom/Fixed expression
alcoholic drink,Compound noun
book of job,Idiom/Fixed expression
book of judges,Idiom/Fixed expression
book of knowledge,Idiom/Fixed expression
book of maps,Idiom/Fixed expression
book of micah,Idiom/Fixed expression
book of mormon,Idiom/Fixed expression
